segment,window_h,n,pearson_r,p_value_approx,significant,avg_llm_score,avg_pct_change
ALL,1,22680,0.0047,0.8215758982324584,False,0.0124,0.0265
ALL,2,19090,0.0118,0.59301581224182,False,0.0118,0.029
ALL,4,12419,0.0102,0.7146880034282383,False,0.0128,0.0173
ALL,6,4590,0.0454,0.005,True,0.0126,0.1097
confidence=high,1,15509,0.0011,0.9663423868431641,False,-0.003,0.0259
confidence=high,2,12877,0.0103,0.7082616879198067,False,-0.0032,0.0129
confidence=high,4,8296,-0.0094,0.7856814781276726,False,-0.0032,0.0013
confidence=high,6,2973,-0.0072,0.9019093070193661,False,-0.0014,0.0268
confidence=medium,1,6990,0.0091,0.8094512530780096,False,0.0469,0.0263
confidence=medium,2,6059,0.0093,0.8188362349235208,False,0.0441,0.0623
confidence=medium,4,4028,0.0243,0.6149906450358902,False,0.0461,0.0502
confidence=medium,6,1590,0.0782,0.005,True,0.039,0.2597
confidence=low,1,181,0.0,1.0,False,0.0,0.0793
confidence=low,2,154,0.0,1.0,False,0.0,0.0582
confidence=low,4,95,0.0,1.0,False,0.0,0.0258
confidence=low,6,27,0.0,1.0,False,0.0,0.4064
priced_in=False,1,6010,0.0129,0.7493725296690086,False,0.0468,0.0102
priced_in=False,2,5201,0.0227,0.591041563975233,False,0.0435,0.0255
priced_in=False,4,3379,0.0209,0.696305008448646,False,0.0471,0.0057
priced_in=False,6,1259,0.0785,0.05,True,0.0458,0.2348
priced_in=True,1,16670,0.0022,0.9276772982488961,False,-0.0,0.0323
priced_in=True,2,13889,-0.0013,0.9622634739456251,False,-0.0,0.0303
priced_in=True,4,9040,0.0044,0.8950011037941917,False,-0.0,0.0217
priced_in=True,6,3331,0.0,1.0,False,0.0,0.0625
non_neutral_only,1,2990,0.0057,0.9226759835119752,False,0.0942,0.052
non_neutral_only,2,2588,0.0188,0.761384024031381,False,0.0875,0.0915
non_neutral_only,4,1739,0.0149,0.8447132639718478,False,0.0916,0.0892
non_neutral_only,6,709,0.0686,0.543156274326986,False,0.0815,0.5364
