segment,window_h,n,llm_accuracy_pct,finbert_accuracy_pct,llm_wins,avg_actual_pct
agree_fb_llm,1,3871,32.3,32.3,False,
agree_fb_llm,2,3339,31.9,31.9,False,
agree_fb_llm,4,2217,31.9,31.9,False,
agree_fb_llm,6,854,34.1,34.1,False,
disagree_fb_llm,1,18809,26.6,38.4,False,
disagree_fb_llm,2,15751,21.0,40.0,False,
disagree_fb_llm,4,10202,14.9,42.1,False,
disagree_fb_llm,6,3736,11.8,44.9,False,
all_both,1,22680,27.5,37.4,False,
all_both,2,19090,22.9,38.6,False,
all_both,4,12419,17.9,40.3,False,
all_both,6,4590,15.9,42.9,False,
LLM_up_FB_down,1,181,45.9,,,0.1148
LLM_up_FB_down,2,169,43.8,,,0.1415
LLM_up_FB_down,4,116,53.4,,,0.1251
LLM_up_FB_down,6,50,64.0,,,0.8678
LLM_down_FB_up,1,142,33.1,,,0.1022
LLM_down_FB_up,2,119,34.5,,,0.2524
LLM_down_FB_up,4,87,37.9,,,0.2751
LLM_down_FB_up,6,41,29.3,,,0.7488
