priority,area,finding,suggestion,config_key,code_file
HIGH,llm_confidence_low,llm_confidence='low' irány-pontosság 26.0% (2h ablak) — nem szignifikánsan jobb a véletlennél,FinBERT fallback alkalmazása llm_confidence='low' esetén: active_score_source legyen 'finbert',—,src/llm_context_checker.py vagy signal_generator.py
LOW,decay_weights_2_6h,"0-2h accuracy 21.2% vs 2-6h 24.5% — különbség csak -3.3pp, a jelenlegi 0.85 decay lehet konzervatív",DECAY_2_6H értéke emelhető 0.90-re (vagy 1.0-ra),DECAY_2_6H,config.json
HIGH,divergence_LLM_up_FB_down,"Divergens hírek (LLM_up_FB_down): LLM accuracy csak 43.8%, avg_pct=0.1415",Ellentétes FinBERT/LLM esetén a score átlagolása vagy FinBERT preferálása javasolt,active_score_source logika,src/llm_context_checker.py
HIGH,divergence_LLM_down_FB_up,"Divergens hírek (LLM_down_FB_up): LLM accuracy csak 34.5%, avg_pct=0.2524",Ellentétes FinBERT/LLM esetén a score átlagolása vagy FinBERT preferálása javasolt,active_score_source logika,src/llm_context_checker.py
MEDIUM,catalyst_analyst,"catalyst='analyst': 36.2% accuracy (n=174, 2h ablak)","'analyst' típusú híreknél az LLM score súlyát csökkenteni (pl. 0.7× szorzó), vagy SENTIMENT_WEIGHT csökkentése ebben a kategóriában","— (egyedi catalyst súly jelenleg nincs, kód módosítás szükséges)",src/signal_generator.py
MEDIUM,catalyst_corporate_action,"catalyst='corporate_action': 28.4% accuracy (n=1878, 2h ablak)","'corporate_action' típusú híreknél az LLM score súlyát csökkenteni (pl. 0.7× szorzó), vagy SENTIMENT_WEIGHT csökkentése ebben a kategóriában","— (egyedi catalyst súly jelenleg nincs, kód módosítás szükséges)",src/signal_generator.py
MEDIUM,catalyst_earnings,"catalyst='earnings': 32.4% accuracy (n=176, 2h ablak)","'earnings' típusú híreknél az LLM score súlyát csökkenteni (pl. 0.7× szorzó), vagy SENTIMENT_WEIGHT csökkentése ebben a kategóriában","— (egyedi catalyst súly jelenleg nincs, kód módosítás szükséges)",src/signal_generator.py
MEDIUM,catalyst_macro,"catalyst='macro': 24.0% accuracy (n=533, 2h ablak)","'macro' típusú híreknél az LLM score súlyát csökkenteni (pl. 0.7× szorzó), vagy SENTIMENT_WEIGHT csökkentése ebben a kategóriában","— (egyedi catalyst súly jelenleg nincs, kód módosítás szükséges)",src/signal_generator.py
MEDIUM,catalyst_other,"catalyst='other': 21.5% accuracy (n=15429, 2h ablak)","'other' típusú híreknél az LLM score súlyát csökkenteni (pl. 0.7× szorzó), vagy SENTIMENT_WEIGHT csökkentése ebben a kategóriában","— (egyedi catalyst súly jelenleg nincs, kód módosítás szükséges)",src/signal_generator.py
MEDIUM,catalyst_regulatory,"catalyst='regulatory': 26.9% accuracy (n=674, 2h ablak)","'regulatory' típusú híreknél az LLM score súlyát csökkenteni (pl. 0.7× szorzó), vagy SENTIMENT_WEIGHT csökkentése ebben a kategóriában","— (egyedi catalyst súly jelenleg nincs, kód módosítás szükséges)",src/signal_generator.py
MEDIUM,catalyst_sector,"catalyst='sector': 43.8% accuracy (n=226, 2h ablak)","'sector' típusú híreknél az LLM score súlyát csökkenteni (pl. 0.7× szorzó), vagy SENTIMENT_WEIGHT csökkentése ebben a kategóriában","— (egyedi catalyst súly jelenleg nincs, kód módosítás szükséges)",src/signal_generator.py
HIGH,magnitude_calibration,llm_score magnitudó-korrelációja csak r=0.0118 (2h ablak) — az LLM score nagyság nem prediktív,Az IMPACT_SCORE_MAP értékeit felülvizsgálni: a score differenciálás (0.35 vs 0.75) lehet nem indokolt — simább skálára hozni,IMPACT_SCORE_MAP,src/llm_context_checker.py
